ID,COMMENTS,KEYWORD1,KEYWORD2,KEYWORD3
204,Montreal QC January 5 1994 Snowfalls of up to 25 cm winds gusting to 70 kmhr temperatures of 18C or lower and almost zero visibility caused major highway accidents that killed at least 6 people near Montreal and caused up to 100car pileups,january,snowfalls,cm
205,Southern ON January 1617 1994,january,,
206,Southern ON January 28 1994,january,,
207,Plaster Rock NB and Lower St Lawrence Region QC April 1626 1994 Freshet during the spring and one rainstorm caused flooding of the Saint John and Miramachi Rivers Flooded basements riverbank erosion and damaged roads was incurred by private municipal and provincial property Over 130 residences 20 farms 14 small businesses and the following 4 municipalities were affected Village of Clair St Francois Riviere Verte and Plaster Rock  In Quebec ice jams along the Matapedia Restigouche and Gaspesie Rivers caused flooding Thirtytwo municipalities were flooded including the following Rimouski Matane Bonaventure Restigouche Matapedia Petite Cascapedia and Capchat Matapedia was isolated for 2 days without electricity or telephone service,april,freshet,spring
208,Southern MB May 18 1994,,,
209,Saskatchewan May 22 1994,,,
210,Southern Alberta June 18 1994,june,,
211,British Columbia July 24 1994  A Forest fire that destroyed 59 ha of land caused the evacuation of 3000 people,july,forest,fire
212,Quebec 1995,,,
213,Edmonton AB July 4 1995,july,,
214,Sydney NS May 25 1994 An explosion and fire of a PCB transformer at a steel factory threatened to cause a major toxic discharge,explosion,fire,pcb
215,Southwestern MB August 1 1994  The hailstorm caused 100 damage in some parts of the province  About 1000 people were affected,august,hailstorm,caused
216,Aylmer QC August 4 1994 A F3 tornado hits the heavily populated district of Aylmer 385 houses sustained damages 12 being totally destroyed and 40 being heavily damaged 250 families had to be evacuated based on family of 4 and 4 people were injured,august,tornado,hits
217,Salmon Arm BC August 4 1994,august,,
218,Southern MB August 27 1994,august,,
219,Southern ON August 28 1994,august,,
220,Lethbridge AB October 17 1994 Six railway cars containing a total of 250 tonnes of methanol became derailed from some damaged tracks just north of downtown Lethbridge,october,railway,cars
221,Montreal QC October 21 1994 A building of a bankrupt petrochemical industry was being cleaned and prepared for use after three years of inactivity,october,building,bankrupt
222,Avalon area of Newfoundland and Labrador December 812 1994 A severe storm with winds up to 168 kmhr and a buildup of wet snow of up to 15 cm in diameter on wires caused major damage to the transmission and distribution systems on the Avalon Burin and Bonavista Peninsulas  For various periods of time service was disrupted to approximately 100000 customers  Full service was not restored to all customers until Dec16,december,severe,storm
223,Poplar Bay AB 1995,,,
224,Hervey Junction QC January 21 1995 28 of 44 rail cars containing sulphuric acid became derailed and spilled the majority of their contents,january,rail,cars
225,Blanc Sablon lower north coast QC March 10 1995 An large snow storm provoked an avalanche 2000 m3 of snow  Two people were killed a house destroyed 24 residences were evacuated The avalanche affected 69 people in total,march,snow,storm
226,North central Saskatchewan May 29 1995 Lightning started 56 fires on May 29 and as the season progressed 2500 people were evacuated from 16 communities and 18 highways were closed At the height of the outbreak 4000 people were fighting the fires  While there was no loss of life and minimal loss of structures 16000 square kilometres 160000 hectares of forest were burned and 48 million cubic meters of wood were lost,lightning,started,fires
227,Western MB April 1995  In April rapid snowmelt sent very high flows into the Assiniboine River and the Red River below the Shellmouth Dam  Spring runoff and two heavy snowfalls of 2030 cm each in late March had contributed to the flooding problem  Public road networks urban and rural properties and agricultural lands suffered damage Damage occurred at over 100 locations on the provincial highway system at over 5500 sites on municipal roads and to large culverts and bridges  Seventy communities were inundated in Manitoba including Roblin Russell Binscarth Birtle Glenora Pilot Mound Melita Virden Elkhorn Boissevain Springfield Brandon and Minnedosa The hardest hit areas were Brandon and Shellmouth along the Assiniboine River  Both a small town of 50 people and the Sioux Valley First Nations Reserve were evacuated Refer to the Saskatchewan entry for more information on this weather system,april,april,rapid
228,Southeast region of British Columbia June 59 1995 Significant amounts of rainfall in the southern Rockies caused flooding in the East Kootenay Elk River Watershed Region Provincial municipal and private sector properties were damaged in the Kootenay Region and in the municipalities of Sparwood Fernie Princeton Cranbrook and Erickson There were 36 homes damaged 2 road bridges and 1 CPR rail bridge washed out On June 6 702 residents were evacuated from Fernie and 100 residents evacuated from Sparwood  The evacuations lasted until June 9,june,amounts,rainfall
229,Sahtu region of the Northwest Territories June 615 1995  A Forest fire was first sited in Fort Norman in the Hamlet of Tulita and then spread to Norman Wells Yellowknife and Deline The fires were started by lightning strikes Damage was incurred by provincial municipal and private property  Fort Norman was evacuated on June 6 and Norman Wells was evacuated on June 9 Norman Wells was under a State of Emergency from June 814,june,forest,fire
230,Southern AB July 10 1995,july,,
231,Southern Ontario July 1315 1995,july,,
232,Southern MB July 30 1995,july,,
233,Toronto ON August 11 1995 Two Toronto Transit Commission subway trains collided underground between two stations Three commuters were killed and 140 other riders were injured Problems with driver training and communications contributed to the accident A rookie driver drove through three red lights and the failsafe breaking system failed The northbound train then rammed into another train which had stopped because of a faulty signal  The subway line was closed for eight and a half days,august,transit,commission
234,Burin Peninsula NL September 11 1995 Heavy rains and winds associated with Hurricane Luis caused damage to provincial municipal and private sector properties on the Burin Peninsula Some two dozen roads were washed out,september,heavy,rains
235,Regina SK August 26 1995,august,,
236,Hamilton ON October 56 1995,october,,
237,Sudbury ON November 16 1995 A cloud of sulphur dioxide was accidentally released from a copper refinery and passed over a part of the city,november,cloud,sulphur
238,Southern Ontario December 1011 1995 An early Snowstorm hit southern Ontario with 1015 cm of snow accompanied by wind gusts of up to 90 kmh and a temperature of 40oC The storm caused the closing of highways shopping centres and bridges including the Peace Bridge between Ontario and New York Muskoka airport and weather office were evacuated and Bracebridge had to enforce its municipal emergency plan An elderly mans death was attributed to the storm,december,early,snowstorm
239,Southwestern British Columbia November 2729 1995 Heavy rains and melting snow caused the Tulameen and Similkameen Rivers to overflow their banks in four regions East coast of Vancouver Island Mainland Coast Mainland Coastal Valleys and the Interior Valley The flooding forced 230 people to flee their homes in Princeton Tulameen and Coalmont A State of Emergency was declared in Princeton a town of 2800 people Provincial municipal and private sector properties were damaged Some homes faced major structural repairs There were actually three periods of heavy rains Nov 78 Nov 1317 and Nov 2729 when 1354 mm 3950 mm and 6506 mm of precipitation fell respectively,november,heavy,rains
240,Sunny Valley AB 1996,,,
241,Grande Prairie AB 1996,,,
242,South Dumfries ON 1996,,,
243,Flat Bay NL February 1719 1996 A rainstorm along west coast of Newfoundland flooding caused extensive damages Highways and bridges washed away 30 residents were evacuated by helicopter,february,rainstorm,flooding
244,Grey Wellington and Dufferin counties ON April 20 1996 Two F3 class tornadoes touched down in Grey County Holland Centre Wellington and Dufferin County Significant property damage occurred,april,class,tornadoes
245,Timmins and Dufferin counties ON May 1719 1996,,,
246,Atikokan ON July 56 1996,july,,
247,Winnipeg MB July 16 1996 Hailstones the size of tennis balls pounded down on the city,july,hailstones,size
248,Red River Souris River Assiniboine River and Pembina River MB April 18  May 8 1996 Heavy rainfall in the winter high soil moisture levels and an unseasonably cool spring led to flooding Thick ice flows and flood water caused damage to bridges telephone cables small businesses roads agricultural lands and other community infrastructure Small communities within the vicinity of Red River Souris River Assiniboine River and Pembina River were inundated Thousands of customers went without telephone service for a week and 285 people were evacuated,april,heavy,rainfall
